ID,Name,Price,Quantity,Category
53,AILYONS AFK-111 Water Dispenser Hot And Normal With Storage Cabinet,"KSh 3,409",93,Home & Office
54,"XIAOMI Redmi A3, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Forest Green","KSh 8,730",127,Phones & Tablets
55,"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Starry Black","KSh 8,940",109,Phones & Tablets
56,"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner (1YR WRTY)","KSh 2,299",42,Home & Office
57,Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 3,465",190,Home & Office
58,"Vitron HTC3200S, 32"" Smart Frameless Android LED TV, With Bluetooth, (1YR WRTY)","KSh 11,799",85,Electronics
59,Rashnik Manual Water Dispenser Pump,KSh 286,491,Home & Office
60,Ramtons RM/399-corded Electric Kettle 1.7 Ltrs- White (1YR WRTY),"KSh 1,329",349,Home & Office
61,Johnnie Walker Johnnie Walker Black 12Y - 750ml,"KSh 3,149",455,Grocery
62,Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 1,899",424,Grocery
63,William Lawson's William Lawson's Scotch Whisky – 750ml,"KSh 1,299",225,Grocery
64,Johnnie Walker Johnnie Walker Red Label - 750 ML,"KSh 1,699",231,Grocery
65,Black & White Black & White Whisky - 750ml,"KSh 1,199",17,Grocery
66,Gilbey's Gilbey's Gilbeys Gin - 750 ML,"KSh 1,299",227,Grocery
67,Bacardi Bacardi Carta Negra 750ml,"KSh 1,899",277,Grocery
68,Bacardi Bacardi Carta De Oro 750ml,"KSh 1,799",14,Grocery
69,Guinness Guinness Stout Can 500ml - Pack Of 6,"KSh 1,349",262,Grocery
70,Martini Martini Fierro 750ml,"KSh 1,439",405,Grocery
71,Absolut Absolut Vanilla Flavoured Vodka - 750ml,"KSh 2,099",158,Grocery
72,Ballantine Ballantine Blended Scotch Whiskey - 1L,"KSh 2,319",124,Grocery
73,Inverroche Inverroche Classic Gin - 750ml,"KSh 3,599",107,Grocery
74,Bombay Bombay Sapphire Gin (Bramble) - 750ml,"KSh 2,399",139,Grocery
75,"Sayona SGC50E31-GO Electric 3+1 Gas Free Standing Cooker, 50*55 White","KSh 19,999",211,Home & Office
76,VON VART-19DHS Double Door Fridge 136L - Silver (1YR WRTY),"KSh 28,500",497,Home & Office
77,Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),"KSh 12,434",272,Home & Office
78,"Hisense WFQP7012EVMT 7Kg Front Load Washing Machine,Silver (2YRS WRTY)","KSh 45,450",318,Home & Office
79,Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow (1YR WRTY),"KSh 1,549",441,Home & Office
80,"Midea MMO-MM7P012MZE(BK) , 20L Manual Microwave Oven , 700W - Black","KSh 7,299",291,Home & Office
81,AILYONS GS017 Gas Cooker Double Burner Stainless Steel Table Top (1YR WRTY),"KSh 1,599",281,Home & Office
82,Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1YR WRTY),"KSh 17,050",266,Home & Office
83,Hisense Fridge 176 Liters With Dispenser REF176DR Single Door (2YRs WRTY),"KSh 35,999",385,Home & Office
84,"AILYONS GS014-4, 2 Burner Glass Top Gas Cooker & Infrared Double Burner, (1YR WRTY)","KSh 2,349",13,Home & Office
85,"VON VAMS-20MGX - Manual Microwave Oven, Solo - 20L - Black (1YR WRTY)","KSh 8,499",431,Home & Office
86,Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox (1YR WRTY),"KSh 26,199",449,Home & Office
87,Hisense 116L Double Door Refrigerator RD-17DR4SA (2YRS WRTY),"KSh 34,450",136,Home & Office
88,"AILYONS GS014-5, 2 Burner Glass Top Gas Cooker & Infrared Double Burner, (1YR WRTY)","KSh 2,499",293,Home & Office
89,Hisense 206L Double Door Refrigerator RD-27DR4SA (2YRS WRTY),"KSh 41,050",324,Home & Office
90,JTC 2.1 hometheatre ne modern speaker system,"KSh 8,894",85,Electronics
91,Fashion Wrist Smart Watch Bands Bracelet Strap,KSh 575,206,Fashion
